file,Chamber,incapacitation,date,group,rep,genotype,cross,set_id,backg_id,Gname
2021-03-25_RNAi-32913.25750-1_group1_30,30,1.101,2021-03-25,group1,1,32913,25750,32913_25750,attP2,Atpalpha
2021-03-25_RNAi-32913.25750-1_group1_31,31,204.441,2021-03-25,group1,1,32913,25750,32913_25750,attP2,Atpalpha
2021-03-25_RNAi-32913.25750-1_group1_32,32,1.101,2021-03-25,group1,1,32913,25750,32913_25750,attP2,Atpalpha
2021-03-25_RNAi-32913.25750-1_group1_33,33,185.232,2021-03-25,group1,1,32913,25750,32913_25750,attP2,Atpalpha
2021-03-25_RNAi-32913.51941-1_group2_8,8,59.371,2021-03-25,group2,1,32913,51941,32913_51941,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_17,17,185.082,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_18,18,122.365,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_19,19,180.562,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_20,20,150.598,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_29,29,122.365,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_30,30,109.409,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_31,31,67.034,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_32,32,108.363,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
2021-03-25_RNAi-33646.3954-1_group1_33,33,150.598,2021-03-25,group1,1,33646,3954,33646_3954,attP2,Atpalpha
