FileName,Chamber,...3,file,incapacitation,Rvar,date,group,chamber,rep,genotype,cross
2021-04-07_RNAi-60074.51941-2_group1,28,NA,2021-04-07_RNAi-60074.51941-2_group1_28,74.089,12.331999999999994,2021-04-07,group1,28,2,60074,51941
2021-04-07_RNAi-60074.51941-2_group1,29,NA,2021-04-07_RNAi-60074.51941-2_group1_29,60.662,1.8530000000000086,2021-04-07,group1,29,2,60074,51941
2021-04-07_RNAi-60074.51941-2_group1,30,NA,2021-04-07_RNAi-60074.51941-2_group1_30,20.238,3.768700000000024,2021-04-07,group1,30,2,60074,51941
2021-04-08_RNAi-27657.25750-2_group1,20,NA,2021-04-08_RNAi-27657.25750-2_group1_20,103.179,1.1604000000000099,2021-04-08,group1,20,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,21,NA,2021-04-08_RNAi-27657.25750-2_group1_21,105.571,2.068099999999987,2021-04-08,group1,21,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,22,NA,2021-04-08_RNAi-27657.25750-2_group1_22,48.635,2.6234000000000037,2021-04-08,group1,22,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,23,NA,2021-04-08_RNAi-27657.25750-2_group1_23,61.884,3.7835999999999785,2021-04-08,group1,23,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,24,NA,2021-04-08_RNAi-27657.25750-2_group1_24,84.697,2.253599999999949,2021-04-08,group1,24,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,26,NA,2021-04-08_RNAi-27657.25750-2_group1_26,59.74,2.91670000000002,2021-04-08,group1,26,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,27,NA,2021-04-08_RNAi-27657.25750-2_group1_27,91.1,4.759399999999999,2021-04-08,group1,27,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,28,NA,2021-04-08_RNAi-27657.25750-2_group1_28,109.209,6.5382000000000176,2021-04-08,group1,28,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,29,NA,2021-04-08_RNAi-27657.25750-2_group1_29,66.578,2.248199999999997,2021-04-08,group1,29,2,27657,25750
2021-04-08_RNAi-27657.25750-2_group1,30,NA,2021-04-08_RNAi-27657.25750-2_group1_30,92.745,3.1180999999999983,2021-04-08,group1,30,2,27657,25750
2021-04-08_RNAi-32913.25750-2_group1,20,NA,2021-04-08_RNAi-32913.25750-2_group1_20,1.019,2.022800000000018,2021-04-08,group1,20,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,21,NA,2021-04-08_RNAi-32913.25750-2_group1_21,73.639,1.6859999999999786,2021-04-08,group1,21,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,22,NA,2021-04-08_RNAi-32913.25750-2_group1_22,56.095,6.919799999999981,2021-04-08,group1,22,2,32913,25750
2021-04-08_RNAi-32913.25750-2_group1,23,NA,2021-04-08_RNAi-32913.25750-2_group1_23,116.23,10.491700000000009,2021-04-08,group1,23,2,32913,25750
