"feature","id","fc","pval","qval","tname"
"gene","MSTRG.13338",1.26055203734286,0.0912906759788068,0.584699209380811,"FBtr0081792"
"gene","MSTRG.9620",1.18527330780315,0.0913024069751236,0.584699209380811,"FBtr0076636"
"gene","MSTRG.14687",1.95168557284798,0.0913187818893639,0.584699209380811,"FBtr0344009"
"gene","MSTRG.6644",0.850666173844607,0.0914193486464261,0.584699209380811,"FBtr0086938"
"gene","MSTRG.6208",1.66299655236625,0.0915507599897302,0.584699209380811,"MSTRG.6208.27"
"gene","MSTRG.7051",1.45819497950992,0.0917038287607008,0.584699209380811,"FBtr0086342"
"gene","MSTRG.1038",0.766689251420707,0.091931695322619,0.584699209380811,"FBtr0077470"
"gene","MSTRG.8837",0.757050722586312,0.0919362609516308,0.584699209380811,"MSTRG.8837.1"
"gene","MSTRG.9398",2.11762550240142,0.0919370554197634,0.584699209380811,"MSTRG.9398.1"
"gene","MSTRG.16447",0.507448294930742,0.0919529434135921,0.584699209380811,"FBtr0335521"
"gene","MSTRG.8378",1.11007675244666,0.0922107574482202,0.584699209380811,"FBtr0332656"
"gene","MSTRG.20237",1.17441203401758,0.0923420903446642,0.584699209380811,"FBtr0089574"
"gene","MSTRG.14846",0.476827254283138,0.0923670722612094,0.584699209380811,"FBtr0083410"
"gene","MSTRG.5277",1.71027136221804,0.092505442964975,0.584699209380811,"FBtr0339414"
"gene","MSTRG.19621",0.762486107186862,0.0927943150326502,0.584699209380811,"FBtr0452133"
"gene","MSTRG.13396",0.806637119103673,0.0928446433442901,0.584699209380811,"FBtr0081869"
"gene","MSTRG.2474",0.740019055255583,0.0928601534660063,0.584699209380811,"MSTRG.2474.1"
