"feature","id","pval","qval","tname"
"gene","MSTRG.14041",0.465497215408708,0.537920761888975,"MSTRG.14041.4"
"gene","MSTRG.18090",0.465546941401052,0.537920761888975,"FBtr0343531"
"gene","MSTRG.19039",0.466538031369195,0.53898848560136,"MSTRG.19039.1"
"gene","MSTRG.16933",0.467222758279277,0.539702014088185,"FBtr0085527"
"gene","MSTRG.622",0.467544215502445,0.539995774963473,"FBtr0333542"
"gene","MSTRG.5372",0.467716903477099,0.540117653326081,"MSTRG.5372.8"
"gene","MSTRG.19437",0.468132060840381,0.540519459192871,"MSTRG.19437.1"
"gene","MSTRG.8881",0.468490375955088,0.540855527337183,"MSTRG.8881.1"
"gene","MSTRG.9838",0.468916284477326,0.541252516205753,"MSTRG.9838.3"
"gene","MSTRG.725",0.469025316294405,0.541252516205753,"FBtr0329964"
"gene","MSTRG.19175",0.469036158348407,0.541252516205753,"MSTRG.19175.1"
"gene","MSTRG.6027",0.469340142150897,0.541525598734221,"MSTRG.6027.1"
"gene","MSTRG.18655",0.469456590080894,0.541582254688072,"FBtr0071152"
"gene","MSTRG.18338",0.469728269692547,0.541817949636756,"MSTRG.18338.1"
"gene","MSTRG.355",0.470192664907332,0.542256556798697,"FBtr0301452"
"gene","MSTRG.15974",0.470243375667012,0.542256556798697,"MSTRG.15974.2"
"gene","MSTRG.17703",0.47036930723092,0.542324009856783,"FBtr0070311"
"gene","MSTRG.17853",0.470549895021475,0.542454451800846,"FBtr0307158"
"gene","MSTRG.8201",0.471469122889618,0.543436245704215,"FBtr0072601"
"gene","MSTRG.9873",0.472167672901652,0.54416343156708,"FBtr0076361"
"gene","MSTRG.12822",0.473891403995212,0.546039869537824,"FBtr0303911"
"gene","MSTRG.205",0.473931645035316,0.546039869537824,"MSTRG.205.1"
"gene","MSTRG.16756",0.475135639506186,0.547348633850272,"FBtr0336765"
"gene","MSTRG.18408",0.475230688134068,0.547379718415092,"FBtr0309527"
"gene","MSTRG.8736",0.475654082970263,0.547788935306724,"FBtr0334635"
"gene","MSTRG.19797",0.476038853962251,0.548153560075089,"MSTRG.19797.3"
"gene","MSTRG.9809",0.477068985833681,0.549261100082243,"MSTRG.9809.1"
"gene","MSTRG.15651",0.477697587081473,0.54990609723865,"MSTRG.15651.1"
"gene","MSTRG.4283",0.477974912327604,0.550146592949563,"MSTRG.4283.1"
"gene","MSTRG.7233",0.478502507192011,0.550675037612786,"MSTRG.7233.4"
"gene","MSTRG.9852",0.478766030768515,0.550899473378223,"MSTRG.9852.2"
"gene","MSTRG.10071",0.478954894544259,0.551037948773238,"FBtr0076223"
"gene","MSTRG.13203",0.479122960739466,0.551139740173114,"FBtr0081577"
"gene","MSTRG.4405",0.479180435624274,0.551139740173114,"FBtr0335263"
"gene","MSTRG.5244",0.479545915545626,0.551481231634194,"MSTRG.5244.1"
"gene","MSTRG.3800",0.480074041477513,0.552009642774114,"FBtr0081483"
"gene","MSTRG.13554",0.480190494059341,0.552064610897101,"FBtr0082056"
"gene","MSTRG.5842",0.480305571137878,0.552117982145628,"MSTRG.5842.1"
"gene","MSTRG.15675",0.480771307675624,0.552574368490406,"FBtr0084256"
"gene","MSTRG.790",0.480938185409034,0.552687180202837,"FBtr0077705"
"gene","MSTRG.18808",0.48133665485082,0.553064725719552,"FBtr0071224"
"gene","MSTRG.925",0.481404262625822,0.553064725719552,"MSTRG.925.1"
"gene","MSTRG.19520",0.481758627549189,0.553251037292919,"FBtr0073843"
"gene","MSTRG.18443",0.481763927513709,0.553251037292919,"FBtr0112956"
"gene","MSTRG.5042",0.481772819468082,0.553251037292919,"FBtr0111043"
"gene","MSTRG.3855",0.4819367030219,0.55336021783297,"FBtr0085914"
"gene","MSTRG.1985",0.482185312978589,0.553566636256076,"FBtr0079924"
"gene","MSTRG.8834",0.482686471119904,0.554062889058845,"FBtr0307170"
"gene","MSTRG.18259",0.482793647789852,0.554106823965462,"FBtr0339744"
"gene","MSTRG.7845",0.483055840838119,0.554328634706072,"FBtr0072179"
"gene","MSTRG.18373",0.483393137970698,0.554634569988419,"FBtr0070905"
"gene","MSTRG.5523",0.483460374983688,0.554634569988419,"MSTRG.5523.3"
"gene","MSTRG.14276",0.484546169016172,0.555742946712234,"FBtr0303259"
"gene","MSTRG.15302",0.484564727971423,0.555742946712234,"FBtr0302673"
"gene","MSTRG.20948",0.485640680095622,0.55689752592742,"MSTRG.20948.1"
"gene","MSTRG.17404",0.485844572321947,0.557029261715708,"FBtr0299977"
"gene","MSTRG.13990",0.485894089895013,0.557029261715708,"MSTRG.13990.4"
"gene","MSTRG.2482",0.487396243597691,0.558671691991538,"FBtr0080392"
"gene","MSTRG.10050",0.487577768197671,0.558794155292173,"FBtr0076242"
"gene","MSTRG.10569",0.487642051957283,0.558794155292173,"FBtr0333052"
"gene","MSTRG.391",0.488066841434194,0.559201245022622,"FBtr0078143"
"gene","MSTRG.17731",0.488267171934684,0.559278667254153,"FBtr0070315"
"gene","MSTRG.19083",0.488273504450561,0.559278667254153,"MSTRG.19083.8"
"gene","MSTRG.3689",0.48835832157478,0.559296158089487,"FBtr0081401"
"gene","MSTRG.2369",0.488569646122444,0.559433502836419,"FBtr0344127"
"gene","MSTRG.891",0.48861737427543,0.559433502836419,"MSTRG.891.1"
"gene","MSTRG.2276",0.488849725677629,0.559619856782846,"FBtr0080196"
"gene","MSTRG.19256",0.489639039424156,0.560443659984211,"FBtr0330413"
"gene","MSTRG.14632",0.490002399046602,0.560779748560236,"FBtr0083174"
"gene","MSTRG.2884",0.490859183144703,0.561640244086381,"MSTRG.2884.1"
"gene","MSTRG.13622",0.490893966138171,0.561640244086381,"FBtr0308353"
"gene","MSTRG.13777",0.491038856150662,0.56172609973878,"FBtr0082256"
"gene","MSTRG.1544",0.491192577160324,0.561760947683658,"FBtr0342658"
"gene","MSTRG.19828",0.491228890699842,0.561760947683658,"FBtr0074082"
"gene","MSTRG.3950",0.491363736815429,0.561760947683658,"MSTRG.3950.1"
"gene","MSTRG.9408",0.491403097788965,0.561760947683658,"MSTRG.9408.2"
"gene","MSTRG.14263",0.491460610795602,0.561760947683658,"FBtr0100020"
"gene","MSTRG.10774",0.491515526789437,0.561760947683658,"FBtr0075604"
"gene","MSTRG.5366",0.491558292570244,0.561760947683658,"FBtr0339461"
"gene","MSTRG.19480",0.491870562893803,0.561948906895969,"FBtr0339838"
"gene","MSTRG.516",0.4918775736386,0.561948906895969,"FBtr0078034"
"gene","MSTRG.6151",0.491932562633225,0.561948906895969,"MSTRG.6151.3"
"gene","MSTRG.8108",0.492002269765546,0.561948906895969,"MSTRG.8108.2"
"gene","MSTRG.16794",0.492210806977857,0.562107257840944,"MSTRG.16794.2"
"gene","MSTRG.6322",0.492281045848726,0.562107648830819,"FBtr0087259"
"gene","MSTRG.4927",0.493137248284218,0.562897362563715,"FBtr0303583"
"gene","MSTRG.2577",0.493142932500879,0.562897362563715,"FBtr0080452"
"gene","MSTRG.14994",0.493182643201185,0.562897362563715,"MSTRG.14994.2"
"gene","MSTRG.20306",0.494151084642868,0.563922665346665,"FBtr0290002"
"gene","MSTRG.19943",0.49424045745126,0.563944630934029,"FBtr0074305"
"gene","MSTRG.3415",0.494695503850173,0.56438377670068,"FBtr0113043"
"gene","MSTRG.8561",0.495100443825023,0.564765641027069,"MSTRG.8561.28"
"gene","MSTRG.6111",0.495354681901186,0.564975514373753,"FBtr0087470"
"gene","MSTRG.6791",0.495620555446437,0.565166959970761,"FBtr0300663"
"gene","MSTRG.6050",0.495663089862444,0.565166959970761,"MSTRG.6050.1"
"gene","MSTRG.20159",0.496595739444073,0.566150118600686,"MSTRG.20159.8"
"gene","MSTRG.19320",0.497092785450639,0.566636453663224,"MSTRG.19320.3"
"gene","MSTRG.1171",0.499290389784915,0.569060843913023,"FBtr0077450"
"gene","MSTRG.15221",0.499542621256687,0.569267643495293,"FBtr0083789"
"gene","MSTRG.9765",0.500279484491416,0.569965982814598,"MSTRG.9765.1"
"gene","MSTRG.18369",0.500325758381286,0.569965982814598,"FBtr0290308"
"gene","MSTRG.11164",0.500368047584066,0.569965982814598,"FBtr0075175"
"gene","MSTRG.7863",0.500470068115167,0.57000145698657,"MSTRG.7863.2"
"gene","MSTRG.11305",0.50068910201497,0.57017017252965,"FBtr0300582"
"gene","MSTRG.8516",0.500792845001373,0.570207568951018,"MSTRG.8516.1"
"gene","MSTRG.11160",0.500907843208057,0.570257768272819,"FBtr0075173"
"gene","MSTRG.1224",0.501132806927845,0.570433125734427,"FBtr0307040"
"gene","MSTRG.16605",0.501676775433616,0.570971501278961,"FBtr0085216"
"gene","MSTRG.1420",0.501871911631835,0.571112765436992,"FBtr0331186"
"gene","MSTRG.12825",0.50249919203004,0.571745685102658,"FBtr0078837"
"gene","MSTRG.12454",0.502632549557338,0.571816517688515,"MSTRG.12454.3"
"gene","MSTRG.6341",0.502901181369922,0.572041202344684,"FBtr0089593"
"gene","MSTRG.6487",0.503206835219288,0.572307929406521,"FBtr0308765"
"gene","MSTRG.3606",0.504081618898113,0.573221773073901,"FBtr0081354"
"gene","MSTRG.12792",0.504495565789693,0.573611386975924,"FBtr0308850"
"gene","MSTRG.5446",0.50499554388858,0.574098694366972,"MSTRG.5446.1"
"gene","MSTRG.2454",0.506358536706814,0.575486505611869,"FBtr0080388"
"gene","MSTRG.8443",0.506359427220789,0.575486505611869,"MSTRG.8443.1"
"gene","MSTRG.18690",0.506503388189729,0.575568778835919,"FBtr0071117"
"gene","MSTRG.17195",0.506595498678247,0.575592116469407,"MSTRG.17195.1"
"gene","MSTRG.13490",0.5070570725603,0.576035171285482,"MSTRG.13490.1"
"gene","MSTRG.4456",0.507444853395012,0.576394281215069,"MSTRG.4456.1"
"gene","MSTRG.15565",0.508541887160127,0.577558799116191,"FBtr0336879"
"gene","MSTRG.17909",0.508856117072327,0.57781602761145,"MSTRG.17909.1"
"gene","MSTRG.164",0.508978088405087,0.57781602761145,"MSTRG.164.1"
"gene","MSTRG.11780",0.508983926834061,0.57781602761145,"FBtr0078351"
"gene","MSTRG.4630",0.50943691121406,0.578248643610934,"MSTRG.4630.1"
"gene","MSTRG.20410",0.509683939796491,0.578447395405501,"FBtr0331156"
"gene","MSTRG.739",0.510115594532174,0.578855596335226,"FBtr0077762"
"gene","MSTRG.18997",0.510200319592492,0.578870057867215,"MSTRG.18997.12"
"gene","MSTRG.13431",0.510652985931824,0.579283538013962,"FBtr0081953"
"gene","MSTRG.838",0.510708814289852,0.579283538013962,"FBtr0077675"
"gene","MSTRG.18851",0.510942444461837,0.579466808399675,"FBtr0333473"
"gene","MSTRG.20936",0.511032699788444,0.579487446658018,"MSTRG.20936.5"
"gene","MSTRG.8755",0.511375170177882,0.579794038992039,"MSTRG.8755.1"
