"feature","id","pval","qval","tname"
"gene","MSTRG.436",0.0130100402151854,0.0287041820056298,"FBtr0078087"
"gene","MSTRG.2164",0.0130136623870403,0.0287042986606083,"MSTRG.2164.2"
"gene","MSTRG.4773",0.0130287838343845,0.0287239259840045,"FBtr0088970"
"gene","MSTRG.12185",0.0130297043011252,0.0287239259840045,"MSTRG.12185.1"
"gene","MSTRG.3961",0.0130403251905428,0.0287394615462716,"MSTRG.3961.4"
"gene","MSTRG.15745",0.0130594207325616,0.028773660693496,"FBtr0084317"
"gene","MSTRG.15426",0.0131224882426111,0.0289046974656473,"MSTRG.15426.1"
"gene","MSTRG.18220",0.0131436156938263,0.0289433070672921,"FBtr0340464"
"gene","MSTRG.2524",0.0131619439807049,0.0289757332309961,"FBtr0080427"
"gene","MSTRG.1683",0.0131882501520398,0.0290256999788463,"MSTRG.1683.1"
"gene","MSTRG.6980",0.0132299317855427,0.0291094696085729,"FBtr0086516"
"gene","MSTRG.2233",0.013236488597935,0.0291159303349545,"FBtr0305258"
"gene","MSTRG.20783",0.0132406668950947,0.0291171570058386,"FBtr0077219"
"gene","MSTRG.15384",0.0132726896889481,0.0291795982718756,"FBtr0334723"
"gene","MSTRG.15598",0.0133590727070239,0.0293614820196463,"FBtr0084174"
"gene","MSTRG.2609",0.0133694647282496,0.0293762938099955,"FBtr0080470"
"gene","MSTRG.15024",0.0133914200316279,0.0294164981956709,"FBtr0083575"
"gene","MSTRG.11648",0.0134169944166337,0.029464628372083,"FBtr0078283"
"gene","MSTRG.5522",0.0134400878576555,0.0295072854357809,"FBtr0100109"
"gene","MSTRG.14644",0.0135825827825315,0.0298119898299997,"FBtr0300570"
"gene","MSTRG.1705",0.013608034073854,0.0298597025980721,"FBtr0079540"
"gene","MSTRG.12196",0.0136395113309538,0.029920608326113,"FBtr0111146"
"gene","MSTRG.20303",0.0136805503937381,0.0300024505771588,"FBtr0332397"
"gene","MSTRG.9668",0.0136922418971542,0.0300184038992031,"MSTRG.9668.1"
"gene","MSTRG.17737",0.0136957808384581,0.0300184038992031,"FBtr0070375"
"gene","MSTRG.531",0.0136990229184376,0.0300184038992031,"FBtr0077949"
"gene","MSTRG.5883",0.0137067138749407,0.0300270751790447,"MSTRG.5883.2"
"gene","MSTRG.13178",0.0137246998455802,0.0300523395497682,"FBtr0346977"
"gene","MSTRG.20521",0.013725720363877,0.0300523395497682,"FBtr0074795"
"gene","MSTRG.7105",0.0137409320545772,0.0300774566093929,"FBtr0336635"
"gene","MSTRG.7941",0.0137557224236585,0.0301016380220576,"MSTRG.7941.1"
"gene","MSTRG.4795",0.0137693228237585,0.0301232029784184,"MSTRG.4795.1"
"gene","MSTRG.16024",0.0137759424507842,0.0301294884931211,"FBtr0084607"
"gene","MSTRG.19",0.013790174211693,0.0301524146303522,"MSTRG.19.1"
"gene","MSTRG.8582",0.0138244030294306,0.0302190402725416,"FBtr0299684"
"gene","MSTRG.9480",0.0138576535338681,0.0302834917715673,"FBtr0076748"
"gene","MSTRG.10629",0.0138690703618078,0.030300207511453,"MSTRG.10629.6"
"gene","MSTRG.17762",0.0138829377380851,0.0303222665099621,"FBtr0070385"
"gene","MSTRG.15897",0.0139111117519399,0.0303755527312248,"FBtr0084453"
"gene","MSTRG.6641",0.0139230157659965,0.030393293374089,"FBtr0086945"
"gene","MSTRG.17185",0.0139883902413469,0.030527716233626,"MSTRG.17185.1"
"gene","MSTRG.6907",0.0140150493033093,0.0305775980730368,"FBtr0086609"
"gene","MSTRG.5551",0.0140428736620235,0.0306273500367085,"FBtr0112421"
"gene","MSTRG.6992",0.0140454696512535,0.0306273500367085,"MSTRG.6992.1"
"gene","MSTRG.7575",0.014061643316994,0.030654306195518,"FBtr0345497"
"gene","MSTRG.745",0.0140678219665027,0.0306594645676462,"FBtr0077767"
"gene","MSTRG.2470",0.0140724620284429,0.0306612678495633,"FBtr0299652"
"gene","MSTRG.5258",0.0141059251444079,0.030725853199168,"FBtr0088387"
"gene","MSTRG.13588",0.0141114329536154,0.0307295271630043,"MSTRG.13588.3"
"gene","MSTRG.811",0.0141333862351405,0.0307690016521385,"FBtr0077717"
"gene","MSTRG.1535",0.0141490654380492,0.0307947995271425,"FBtr0079403"
"gene","MSTRG.6357",0.0141675639498358,0.0308139120439272,"FBtr0304747"
