gene_id,AH_1,AH_3,AL_1,AL_2,AL_3,AL_4,AL_5
MSTRG.10726,130,95,63,98,245,57,69
MSTRG.10727,98,197,165,85,304,75,147
MSTRG.10728,15,7,0,8,6,0,6
MSTRG.10729,0,0,0,0,0,2,5
FBgn0267258,0,0,0,0,0,0,0
FBgn0267257,8,10,19,17,19,25,20
FBgn0267255,0,0,0,0,3,0,0
MSTRG.12768,2410,1797,1248,1304,2866,1321,1266
MSTRG.12769,845,131,613,746,1008,731,648
MSTRG.12762,4495,4177,2787,3105,6718,2024,2292
MSTRG.12763,117,61,36,17,128,26,40
MSTRG.12760,256,206,245,169,433,230,117
MSTRG.12761,5,0,10,7,15,6,0
MSTRG.12766,0,0,0,0,0,0,0
MSTRG.12767,1211,1012,754,878,2086,701,808
MSTRG.12764,81,63,41,41,92,35,28
MSTRG.12765,178,125,102,104,237,68,105
MSTRG.10898,3,0,3,6,2,0,2
MSTRG.10899,105,74,83,47,193,82,60
MSTRG.10892,122,94,94,55,255,139,97
MSTRG.10893,3230,3622,4252,3932,8671,2859,3353
MSTRG.10890,0,0,2,0,0,0,0
MSTRG.10891,5,0,1,5,10,0,1
MSTRG.10896,0,0,2,0,1,0,0
MSTRG.10897,2,0,0,4,0,0,2
MSTRG.10894,0,0,0,0,0,0,0
MSTRG.10895,0,0,2,0,14,6,0
MSTRG.17048,1889,895,1349,934,4068,815,1477
MSTRG.17049,83,40,52,45,193,67,74
MSTRG.17040,167,105,183,272,374,124,157
MSTRG.17041,89,101,48,106,232,75,85
MSTRG.17042,128,100,60,109,127,45,90
MSTRG.17043,9,19,9,16,68,20,2
MSTRG.17044,99,140,387,172,275,126,250
MSTRG.17045,9511,10396,4447,6255,9205,2953,4935
MSTRG.17046,8929,9754,6946,6367,15848,5413,5466
MSTRG.17047,0,0,0,0,0,0,0
MSTRG.12498,0,0,0,26,62,16,0
MSTRG.12499,0,2,10,2,4,2,2
MSTRG.12494,98,74,124,132,279,83,89
MSTRG.12495,51,0,0,0,0,0,0
MSTRG.12496,97,109,187,167,150,100,149
MSTRG.12497,45,108,0,0,240,97,137
MSTRG.12490,0,4,0,3,20,6,3
MSTRG.12491,8,6,7,2,46,9,4
MSTRG.12492,34,55,76,119,195,64,68
MSTRG.12493,125,72,155,214,516,107,140
MSTRG.18719,114,95,51,45,228,67,62
FBgn0265817,2,2,4,12,6,6,3
FBgn0053448,0,0,0,0,0,0,0
FBgn0053449,0,0,0,0,0,0,0
FBgn0053446,0,0,0,0,1,0,0
FBgn0053447,0,0,0,0,0,0,0
FBgn0053444,0,1,0,0,0,0,0
FBgn0053445,0,0,0,0,0,0,0
FBgn0053442,0,0,0,0,0,0,0
FBgn0053443,0,0,0,0,1,0,0
FBgn0053440,1,0,0,0,1,1,0
FBgn0053441,1,1,0,0,1,0,0
FBgn0267928,0,0,0,0,0,0,0
FBgn0267929,3,0,6,9,0,2,0
FBgn0029573,11,6,11,6,3,4,0
FBgn0267922,0,0,0,3,0,0,3
FBgn0267926,0,2,1,2,2,3,2
FBgn0084008,0,0,0,0,0,0,0
FBgn0038468,0,3,0,0,5,3,0
MSTRG.2508,0,0,0,0,0,0,0
MSTRG.2509,6,2,0,3,5,2,0
MSTRG.2500,35,35,3,8,50,43,19
MSTRG.2501,3923,2521,2374,2198,7286,2702,2701
MSTRG.2502,13,6,35,50,58,31,17
MSTRG.2503,3,5,6,19,26,13,11
MSTRG.2504,0,0,0,0,0,0,0
MSTRG.2505,43,27,94,54,185,69,68
MSTRG.2506,57,30,113,56,230,72,81
MSTRG.2507,0,2,13,8,16,6,8
MSTRG.3679,96,86,109,95,248,60,101
MSTRG.3678,193,161,113,87,314,124,74
MSTRG.3671,1,0,1,0,0,3,1
MSTRG.3670,0,4,0,0,0,0,0
MSTRG.3673,2,10,25,72,52,22,35
MSTRG.3672,4,0,1,9,10,5,8
MSTRG.3675,0,0,0,0,0,0,0
MSTRG.3674,0,0,0,0,0,0,0
MSTRG.3677,16,3,75,35,98,64,38
MSTRG.3676,0,0,0,0,5,0,0
MSTRG.4902,934,607,524,406,1639,707,624
MSTRG.4903,21,23,21,12,40,11,22
MSTRG.4900,23,23,32,16,127,18,23
MSTRG.4901,2052,1483,1746,1906,4654,1474,1747
MSTRG.4906,4533,3459,2699,2938,7947,2851,2627
MSTRG.4907,542,610,363,326,744,307,340
FBgn0036948,0,0,7,21,40,5,21
MSTRG.4905,78,30,63,40,243,55,73
MSTRG.4908,296,225,280,154,454,118,142
MSTRG.4909,307,241,303,320,562,268,213
FBgn0262688,0,0,0,0,0,0,0
MSTRG.774,30,38,18,19,80,19,10
MSTRG.775,94,83,121,89,346,170,114
MSTRG.8593,584,458,324,313,778,307,241
MSTRG.8592,1066,656,707,720,2070,700,745
MSTRG.770,295,198,188,412,1393,520,421
MSTRG.8594,0,0,5,3,1,9,2
MSTRG.772,143,74,64,63,344,122,132
MSTRG.773,261,506,422,359,833,347,219
MSTRG.8599,386,395,284,157,551,165,188
MSTRG.8598,2038,2040,1702,1663,4073,1289,1354
MSTRG.778,511,480,514,379,1110,316,358
MSTRG.779,1460,1037,1133,1032,2589,971,988
FBgn0265270,0,0,0,0,0,0,0
FBgn0265271,6,6,9,4,8,0,5
MSTRG.18179,6,5,32,28,51,17,21
MSTRG.18178,8,16,11,18,19,10,3
MSTRG.18175,670,412,514,584,1410,421,529
FBgn0262686,3,0,0,0,0,0,0
MSTRG.18177,902,790,1206,1189,511,657,980
MSTRG.18176,0,0,0,0,0,0,0
MSTRG.18171,98,64,62,109,233,69,65
MSTRG.18170,152,102,126,109,324,143,35
MSTRG.18173,40,24,34,28,63,0,33
MSTRG.18172,130,60,72,100,202,94,72
MSTRG.13547,268,120,90,121,344,115,158
FBgn0051754,0,0,0,0,0,1,0
MSTRG.1743,759,644,730,603,1681,486,457
MSTRG.1742,14,14,15,22,49,16,33
MSTRG.1741,0,0,0,0,0,0,0
MSTRG.1740,14,4,3,14,50,13,5
MSTRG.1747,24,0,20,19,0,24,10
MSTRG.1746,15106,7200,8055,6368,15001,4766,5141
MSTRG.1745,0,2,0,3,0,0,0
MSTRG.1744,1158,949,728,601,1663,725,751
MSTRG.1749,11,0,14,3,10,2,3
MSTRG.1748,4441,3751,2942,3633,7012,3118,2867
MSTRG.18794,38,15,42,89,182,39,46
MSTRG.9246,8,8,24,19,36,21,14
MSTRG.9247,32,27,25,9,29,20,19
MSTRG.9244,245,243,160,111,247,120,87
MSTRG.9245,20,9,10,11,34,8,13
MSTRG.9242,8,12,11,24,21,8,16
MSTRG.9243,40,43,17,37,60,31,26
MSTRG.9240,1482,990,828,838,2371,879,839
MSTRG.9241,10,19,20,23,55,19,14
MSTRG.9248,10,17,2,16,21,13,9
MSTRG.9249,13,7,7,12,9,3,5
MSTRG.18796,788,632,487,605,1418,630,565
MSTRG.6430,7,0,3,0,26,0,2
MSTRG.6431,4,6,2,1,4,3,2
MSTRG.6432,4,14,6,19,49,17,23
MSTRG.6433,10,20,12,15,55,5,8
MSTRG.6434,0,0,5,0,2,14,2
MSTRG.6435,0,0,6,11,14,3,9
MSTRG.6436,3,3,10,14,5,2,7
MSTRG.6437,629,353,387,286,1107,440,311
MSTRG.6438,8,2,5,6,13,5,6
MSTRG.6439,462,802,18452,1165,61743,828,13423
MSTRG.7016,2,2,2,4,25,7,2
MSTRG.56,17,23,26,0,107,29,0
MSTRG.57,0,0,6,9,11,5,8
MSTRG.54,0,0,4,0,0,0,19
MSTRG.55,0,0,40,21,69,0,24
MSTRG.52,133,0,113,182,304,117,93
MSTRG.53,0,0,0,0,8,0,0
MSTRG.50,13,12,20,22,100,14,22
MSTRG.51,5,5,67,7,654,21,185
MSTRG.58,16,9,9,29,99,19,17
MSTRG.59,0,5,0,5,3,3,0
FBgn0053837,0,0,0,0,3,0,0
FBgn0053836,0,0,0,0,0,1,0
FBgn0053835,0,0,0,0,0,0,0
FBgn0053834,5,3,1,6,11,4,4
FBgn0053833,0,0,1,0,1,0,1
FBgn0053832,1,0,0,0,0,0,0
FBgn0053831,2,3,2,3,6,3,2
FBgn0053830,1,0,1,0,0,0,0
FBgn0053839,0,0,0,0,0,1,0
FBgn0053838,0,0,0,0,0,0,0
FBgn0011981,1,0,0,0,0,0,1
FBgn0011980,0,0,0,0,0,1,0
FBgn0011983,0,1,0,0,2,0,0
FBgn0011986,0,0,0,1,0,0,0
MSTRG.6298,3,6,6,0,25,11,2
MSTRG.6299,490,385,310,418,1061,302,398
MSTRG.6294,3,4,6,2,5,6,8
MSTRG.6295,22,18,17,15,16,18,16
MSTRG.6296,25,9,13,25,44,30,20
MSTRG.6297,11,5,6,12,26,11,13
MSTRG.6290,111,158,72,76,144,63,63
MSTRG.6291,4,8,0,13,0,3,7
MSTRG.6292,4811,6044,3809,3386,8293,3679,3271
MSTRG.6293,2812,1607,1916,2389,4881,2567,2151
MSTRG.7741,315,240,249,192,521,222,221
MSTRG.7740,6910,9257,3664,3726,6328,3732,5770
MSTRG.7743,233,193,173,109,425,164,96
MSTRG.7742,199,136,174,147,405,130,75
MSTRG.7745,167,126,177,124,484,102,103
MSTRG.7744,770,521,549,517,1564,576,473
MSTRG.7747,763,746,693,521,1493,545,397
MSTRG.7746,241,299,203,147,422,127,124
MSTRG.7749,4461,4140,3216,3564,8767,3262,3010
MSTRG.7748,8,7,0,5,7,3,0
MSTRG.18693,1054,1031,937,793,4843,786,1247
MSTRG.18694,85,82,93,65,151,100,59
MSTRG.8928,0,0,10,18,26,1,7
MSTRG.8929,849,856,657,667,1316,589,656
MSTRG.8920,0,0,0,0,5,3,3
MSTRG.8921,4536,0,30,35,15,13,33
MSTRG.8922,10766,3,0,6,0,38,97
MSTRG.8923,14,0,0,0,0,0,0
MSTRG.8924,47,4,10,38,14,13,0
MSTRG.8925,17276,26,6,27,53,91,157
MSTRG.8926,170,69,73,74,160,89,48
MSTRG.8927,0,0,6,13,20,0,1
MSTRG.18696,986,897,941,847,2129,680,661
MSTRG.20228,1241,892,854,684,1740,607,596
MSTRG.20229,195,237,232,124,335,127,153
