patRIL	chamber	Pre	Learning	Memory	file
A2.asc	12	1.000	0.9928	1.000	2.hbx
A2.asc	13	-0.6267	0.8978	0.9389	2.hbx
A2.asc	15	-1.000	0.7072	0.2578	2.hbx
A2.asc	2	1.000	0.9744	0.6822	3.hbx
A2.asc	4	1.000	0.9556	0.9178	3.hbx
A2.asc	9	0.1600	0.7367	1.000	3.hbx
A2.asc	10	1.000	0.9106	1.000	3.hbx
A2.asc	13	1.000	0.9989	1.000	3.hbx
A2.asc	14	-0.5800	0.8922	-0.3311	3.hbx
A2.asc	0	-1.000	0.9139	0.5844	4.hbx
A2.asc	2	0.9467	0.9506	-0.6522	4.hbx
A2.asc	4	-1.000	0.9178	0.7133	4.hbx
A2.asc	5	-1.000	0.8944	0.6344	4.hbx
A2.asc	8	1.000	0.8378	-0.07333	4.hbx
A2.asc	9	-1.000	0.6778	0.3689	4.hbx
A2.asc	10	-1.000	0.9061	0.9500	4.hbx
A2.asc	13	-1.000	0.7850	1.000	4.hbx
A2.asc	14	-1.000	0.9167	1.000	4.hbx
A2.asc	0	1.000	0.7506	-0.5567	5.hbx
A2.asc	2	1.000	0.9322	0.8533	5.hbx
A2.asc	4	1.000	0.8267	-0.3000	5.hbx
A2.asc	6	-1.000	0.9694	0.2611	5.hbx
A2.asc	8	1.000	0.9383	1.000	5.hbx
A2.asc	9	1.000	0.8656	-0.09000	5.hbx
A2.asc	10	-1.000	0.9422	-0.02778	5.hbx
A2.asc	14	0.9133	0.8956	-0.9389	5.hbx
A2.asc	15	0.1067	0.9389	1.000	5.hbx
A2.asc	0	0.8933	0.9083	1.000	6.hbx
A2.asc	2	-0.3333	0.8561	-0.5933	6.hbx
A2.asc	4	1.000	0.9528	1.000	6.hbx
A2.asc	6	1.000	0.9100	-0.1467	6.hbx
A2.asc	9	0.5533	0.9050	1.000	6.hbx
A2.asc	14	-0.4933	0.9717	0.7067	6.hbx
A2.asc	15	-1.000	0.9244	-0.1189	6.hbx
A2.asc	0	-0.1333	0.9106	0.8400	7.hbx
A2.asc	2	-1.000	0.8950	0.1422	7.hbx
A2.asc	4	1.000	0.6867	1.000	7.hbx
A2.asc	5	0.1933	0.8917	1.000	7.hbx
A2.asc	8	-1.000	0.9633	1.000	7.hbx
A1.asc	2	-0.9133	0.9750	1.000	2.hbx
A1.asc	8	0.06000	0.7894	0.4878	2.hbx
A1.asc	9	0.1133	0.9583	1.000	2.hbx
A1.asc	12	1.000	0.9700	0.4611	2.hbx
A1.asc	14	0.03333	0.7894	1.000	2.hbx
A1.asc	15	0.1933	0.7333	1.000	2.hbx
A1.asc	4	1.000	0.8883	0.8044	3.hbx
A1.asc	5	0.9133	0.8761	0.9678	3.hbx
A1.asc	6	-1.000	0.7756	1.000	3.hbx
A1.asc	8	0.9867	0.9078	-0.03444	3.hbx
A1.asc	9	-1.000	0.7867	-0.4344	3.hbx
A1.asc	12	0.9867	0.8939	0.5622	3.hbx
A1.asc	14	0.9867	0.6533	0.8556	3.hbx
A1.asc	15	-0.4667	0.8983	1.000	3.hbx
A1.asc	2	-1.000	0.9350	0.4478	4.hbx
A1.asc	4	0.4333	0.6922	0.1011	4.hbx
A1.asc	5	-0.2067	0.8028	0.5300	4.hbx
A1.asc	6	1.000	0.9544	0.7122	4.hbx
A1.asc	8	-0.7867	-0.6039	-1.000	4.hbx
A1.asc	9	1.000	0.8744	0.1478	4.hbx
A1.asc	10	0.8533	0.8600	1.000	4.hbx
A1.asc	11	1.000	0.8306	-0.3667	4.hbx
A1.asc	14	0.3067	0.8433	-0.9067	4.hbx
A1.asc	15	1.000	0.8483	-0.04000	4.hbx
A1.asc	2	0.6333	0.8828	1.000	5.hbx
A1.asc	4	0.5067	0.8989	0.8344	5.hbx
A1.asc	5	1.000	0.8044	0.01444	5.hbx
A1.asc	6	-0.7933	0.8656	-0.8789	5.hbx
A1.asc	8	-0.3533	0.8706	-0.1722	5.hbx
A1.asc	11	-0.1667	0.9761	0.5378	5.hbx
A1.asc	12	1.000	0.8789	-0.1289	5.hbx
A1.asc	14	1.000	0.9117	1.000	5.hbx
A1.asc	15	0.3933	0.8972	0.3822	5.hbx
A1.asc	2	-0.6067	0.8856	1.000	6.hbx
A1.asc	5	-0.1400	0.8761	0.8789	6.hbx
A1.asc	6	0.2933	0.09278	-0.8067	6.hbx
A1.asc	8	1.000	0.6800	-0.03889	6.hbx
A1.asc	9	-0.7533	0.9289	-0.4778	6.hbx
A1.asc	10	0.6067	0.7950	1.000	6.hbx
A1.asc	11	1.000	0.6061	-1.000	6.hbx
A1.asc	12	0.8267	0.7644	0.2656	6.hbx
A1.asc	14	-1.000	0.9083	0.2844	6.hbx
A1.asc	15	-1.000	0.3867	1.000	6.hbx
A1.asc	2	1.000	0.9328	1.000	7.hbx
A1.asc	5	-0.9600	0.8678	0.3967	7.hbx
A1.asc	6	1.000	0.8839	-0.3244	7.hbx
A1.asc	8	-0.3133	0.8344	0.1111	7.hbx
A1.asc	9	-0.006667	0.8650	0.3356	7.hbx
A1.asc	10	0.8867	0.9228	1.000	7.hbx
A1.asc	14	1.000	0.9533	1.000	7.hbx
A1.asc	15	-1.000	0.7467	1.000	7.hbx
A1.asc	2	1.000	0.9767	1.000	1.hbx
A1.asc	4	-1.000	0.8461	1.000	1.hbx
A1.asc	5	1.000	0.8333	0.4211	1.hbx
A1.asc	8	-0.2800	0.4400	1.000	1.hbx
A1.asc	9	-0.4800	0.9194	1.000	1.hbx
A1.asc	10	0.6867	0.8144	0.9989	1.hbx
A1.asc	11	-0.6667	-0.8906	-1.000	1.hbx
A1.asc	12	0.7867	0.8467	0.1556	1.hbx
A1.asc	15	-0.9400	0.5839	0.1089	1.hbx
A7.asc	0	0.2400	0.7050	-0.2989	1.hbx
A7.asc	2	0.3533	0.9928	1.000	1.hbx
A7.asc	4	-1.000	0.5906	0.1233	1.hbx
A7.asc	5	0.9000	0.8572	-0.9489	1.hbx
A7.asc	8	0.7733	0.8633	0.8278	1.hbx
A7.asc	9	-1.000	0.5828	-0.4156	1.hbx
A7.asc	12	0.06667	0.5639	-0.6856	1.hbx
A7.asc	14	0.0000	0.8939	-0.1167	1.hbx
A7.asc	15	1.000	0.9811	0.9978	1.hbx
A7.asc	0	0.2933	0.6794	0.2800	2.hbx
A7.asc	4	1.000	0.9878	0.7933	2.hbx
A7.asc	5	-0.7800	0.6772	0.4256	2.hbx
A7.asc	8	-0.07333	0.8311	0.005556	2.hbx
A7.asc	9	0.1067	0.7794	1.000	2.hbx
A7.asc	12	-0.5467	0.8983	1.000	2.hbx
A7.asc	14	-0.2267	0.8156	-0.1244	2.hbx
A7.asc	15	0.1467	0.6978	-0.1022	2.hbx
A7.asc	0	-1.000	0.7461	-0.3711	3.hbx
A7.asc	2	0.2067	0.7878	1.000	3.hbx
A7.asc	4	-1.000	0.6900	1.000	3.hbx
A7.asc	6	0.6867	0.8639	1.000	3.hbx
A7.asc	9	0.1133	0.8928	0.7811	3.hbx
A7.asc	10	-1.000	0.8000	1.000	3.hbx
A7.asc	12	0.08667	0.7256	0.003333	3.hbx
A7.asc	14	0.9467	0.8806	-0.9689	3.hbx
A7.asc	15	-0.1867	0.7967	0.1367	3.hbx
A7.asc	0	-0.2533	0.4378	0.01444	4.hbx
A7.asc	2	-0.8000	0.9533	0.3722	4.hbx
A7.asc	4	0.2867	0.8178	0.1811	4.hbx
A7.asc	5	-1.000	0.7211	0.5689	4.hbx
A7.asc	6	1.000	0.9694	-0.1978	4.hbx
A7.asc	8	-0.3533	0.9617	0.5844	4.hbx
A7.asc	9	-0.5533	0.6083	0.02556	4.hbx
A7.asc	10	0.5200	0.9950	1.000	4.hbx
A7.asc	12	0.2067	0.8456	-0.3789	4.hbx
A7.asc	14	-0.02000	0.7822	-0.6756	4.hbx
A7.asc	0	-1.000	0.4850	-0.1644	5.hbx
A7.asc	2	1.000	0.9489	0.4800	5.hbx
A7.asc	5	-0.8400	0.8417	0.8633	5.hbx
A7.asc	6	1.000	0.8439	1.000	5.hbx
A7.asc	8	-0.5667	0.9117	1.000	5.hbx
A7.asc	9	1.000	0.7256	-0.1078	5.hbx
A7.asc	10	0.6333	0.9617	1.000	5.hbx
A7.asc	12	-1.000	0.7006	1.000	5.hbx
A7.asc	14	0.9867	0.8739	-0.1533	5.hbx
A7.asc	15	-0.2733	0.7833	0.06556	5.hbx
A7.asc	0	1.000	0.6889	0.07556	6.hbx
A7.asc	4	-0.5400	0.8694	-0.9867	6.hbx
A7.asc	5	-1.000	0.1461	-1.000	6.hbx
A7.asc	6	-0.05333	0.8506	0.5056	6.hbx
A7.asc	8	-0.1800	0.7717	0.0000	6.hbx
A7.asc	9	-0.1400	0.7072	-0.1633	6.hbx
A7.asc	10	1.000	0.6333	0.006667	6.hbx
A7.asc	12	-1.000	0.8011	-0.1589	6.hbx
A7.asc	14	-0.2800	0.8906	-0.5311	6.hbx
A7.asc	15	-0.3800	0.7444	-0.008889	6.hbx
A7.asc	0	0.4200	0.5894	0.3100	7.hbx
A7.asc	2	0.9600	0.8983	0.8733	7.hbx
A7.asc	4	-0.4533	0.8794	-0.5689	7.hbx
A7.asc	5	0.2267	0.9511	0.007778	7.hbx
A7.asc	6	-0.9667	0.9456	-0.1822	7.hbx
A7.asc	8	-0.5333	0.8461	0.9089	7.hbx
A7.asc	9	-0.1533	0.8461	0.09667	7.hbx
A7.asc	10	0.8533	0.7239	0.01444	7.hbx
A7.asc	12	-0.3933	0.9667	1.000	7.hbx
A7.asc	14	1.000	0.8667	1.000	7.hbx
A7.asc	15	-0.6733	0.3861	0.01222	7.hbx
A6.asc	0	0.3600	0.8694	0.1278	1.hbx
A6.asc	2	0.0000	0.7667	0.2811	1.hbx
A6.asc	4	-0.1467	0.8539	0.5311	1.hbx
A6.asc	5	0.1467	0.8261	0.2200	1.hbx
A6.asc	8	0.1133	0.8261	0.5333	1.hbx
A6.asc	9	0.3400	0.6383	0.1633	1.hbx
A6.asc	12	0.1467	0.6300	0.8067	1.hbx
A6.asc	14	0.6400	0.8133	1.000	1.hbx
A6.asc	2	0.3600	0.9111	0.6000	2.hbx
A6.asc	4	-0.3133	0.9456	0.8511	2.hbx
A6.asc	5	0.2800	0.8033	0.2322	2.hbx
A6.asc	8	0.5000	0.7811	0.3144	2.hbx
A6.asc	9	0.1800	0.7283	0.6844	2.hbx
A6.asc	12	0.8333	0.7706	1.000	2.hbx
A6.asc	14	0.1933	0.7778	0.1500	2.hbx
A6.asc	15	-0.3467	0.5622	1.000	2.hbx
A6.asc	0	0.4467	0.8344	0.4511	3.hbx
A6.asc	2	-0.4800	0.9794	0.2889	3.hbx
A6.asc	4	0.2733	0.9550	-0.4956	3.hbx
A6.asc	5	-0.04667	0.5733	0.04444	3.hbx
A6.asc	6	0.7200	0.8494	0.9433	3.hbx
A6.asc	8	-0.2867	0.7822	1.000	3.hbx
A6.asc	9	1.000	0.8361	1.000	3.hbx
A6.asc	10	0.2733	0.7122	0.3122	3.hbx
A6.asc	12	-0.6133	0.6961	0.3600	3.hbx
A6.asc	14	-0.2467	0.8094	0.08889	3.hbx
A6.asc	15	-0.5733	0.7978	1.000	3.hbx
A6.asc	2	0.4200	0.7839	0.8322	4.hbx
A6.asc	4	0.5933	0.8933	0.5122	4.hbx
A6.asc	5	-0.3667	0.8989	-0.2500	4.hbx
A6.asc	6	-0.08667	0.9406	0.9433	4.hbx
A6.asc	8	0.4333	0.8517	0.2278	4.hbx
A6.asc	9	0.5000	0.7778	0.1811	4.hbx
A6.asc	10	-0.1733	0.7506	0.6867	4.hbx
A6.asc	12	0.006667	0.8161	1.000	4.hbx
A6.asc	14	0.06000	0.7872	0.6422	4.hbx
A6.asc	0	0.1600	0.7239	0.2622	5.hbx
A6.asc	2	0.6933	0.8167	0.4356	5.hbx
A6.asc	4	-0.02667	0.8344	0.2933	5.hbx
A6.asc	5	0.4667	0.8417	-0.9989	5.hbx
A6.asc	6	0.4067	0.8144	0.7944	5.hbx
A6.asc	8	-0.5667	0.8422	-0.2833	5.hbx
A6.asc	9	0.1600	0.8894	1.000	5.hbx
A6.asc	10	0.2400	0.8989	1.000	5.hbx
A6.asc	12	0.1667	0.7933	0.9833	5.hbx
A6.asc	14	0.1867	0.8817	0.3822	5.hbx
A6.asc	15	-0.3000	0.8983	0.6711	5.hbx
A6.asc	0	0.5667	0.8911	-0.2511	6.hbx
A6.asc	2	0.06667	0.8250	0.5667	6.hbx
A6.asc	4	0.4733	0.8094	0.9089	6.hbx
A6.asc	5	0.1067	0.7344	0.5133	6.hbx
A6.asc	6	0.3333	0.8494	0.9578	6.hbx
A6.asc	8	0.2533	0.8283	0.6533	6.hbx
A6.asc	9	1.000	0.9833	0.7533	6.hbx
A6.asc	10	-0.06667	0.7772	1.000	6.hbx
A6.asc	12	0.2933	0.9294	1.000	6.hbx
A6.asc	14	-0.4600	0.8800	0.2400	6.hbx
A6.asc	15	0.02000	0.6372	1.000	6.hbx
A6.asc	0	0.2933	0.5972	-0.01778	7.hbx
A6.asc	2	0.3333	0.8450	1.000	7.hbx
A6.asc	4	-0.6667	0.8383	-0.8500	7.hbx
A6.asc	5	0.4133	0.9183	0.8378	7.hbx
A6.asc	6	0.4800	0.9233	0.3656	7.hbx
A6.asc	8	0.5933	0.9389	1.000	7.hbx
A6.asc	9	0.09333	0.7650	1.000	7.hbx
A6.asc	10	0.7533	0.7961	1.000	7.hbx
A6.asc	12	-0.02667	0.8961	1.000	7.hbx
A6.asc	14	-1.000	0.8911	1.000	7.hbx
A6.asc	15	-0.3133	0.8906	1.000	7.hbx
A3.asc	2	-0.2933	0.7017	-0.1767	1.hbx
A3.asc	4	-0.5467	0.9250	0.3189	1.hbx
A3.asc	5	-0.3133	0.8006	-0.01333	1.hbx
A3.asc	6	-0.7000	0.9117	-0.8022	1.hbx
A3.asc	8	-1.000	0.9433	1.000	1.hbx
A3.asc	9	0.2800	0.9689	0.7978	1.hbx
A3.asc	10	0.2533	0.7956	-0.02889	1.hbx
A3.asc	11	1.000	0.9672	1.000	1.hbx
A3.asc	12	1.000	0.9967	0.2378	1.hbx
A3.asc	14	0.1933	0.8650	0.8122	1.hbx
A3.asc	15	1.000	0.9672	0.3322	1.hbx
A3.asc	2	0.7000	0.4089	0.6367	2.hbx
A3.asc	4	-1.000	0.8278	0.05444	2.hbx
A3.asc	5	-0.5067	0.7661	-0.03556	2.hbx
A3.asc	6	0.006667	0.9494	0.2500	2.hbx
A3.asc	8	-0.5133	0.7706	0.9889	2.hbx
A3.asc	9	-0.2267	0.7939	0.2289	2.hbx
A3.asc	10	0.5533	0.9767	1.000	2.hbx
A3.asc	11	1.000	0.5833	-1.000	2.hbx
A3.asc	12	0.4600	0.9022	1.000	2.hbx
A3.asc	14	0.1133	0.6617	-0.06889	2.hbx
A3.asc	15	0.1400	0.8017	1.000	2.hbx
A3.asc	2	-0.06000	0.7533	0.5100	3.hbx
A3.asc	4	-0.8333	0.8861	0.1811	3.hbx
A3.asc	5	-1.000	0.7089	0.01000	3.hbx
A3.asc	6	-1.000	0.9217	1.000	3.hbx
A3.asc	8	-0.7133	0.8078	1.000	3.hbx
A3.asc	9	1.000	0.9817	1.000	3.hbx
A3.asc	10	0.6067	0.8317	0.3478	3.hbx
A3.asc	11	0.9667	0.9406	0.8900	3.hbx
A3.asc	12	1.000	0.9839	1.000	3.hbx
A3.asc	14	-0.08000	0.9194	1.000	3.hbx
A3.asc	15	0.7867	0.6489	0.1356	3.hbx
A3.asc	2	0.04000	0.6717	0.5589	4.hbx
A3.asc	4	-0.3533	0.4100	-0.2033	4.hbx
A3.asc	5	-0.8000	0.6356	-0.5622	4.hbx
